"Ind","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","Year","FVeg","FT","BT","FertT","FlwrVeg","Weight","PropDam","OH","StemTotal"
"E1-79",3,"3-76",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",121.5,211,179,218,120,9.62704347826087,0.25,NA,4
"E1-8",13,"13-27",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",86.5,190,171,211,87.5,3.96704347826087,0,NA,3
"E1-80",8,"8-14",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",120,197,179,211,121,8.43704347826087,0,NA,3
"E1-81",22,"22-15",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",124.5,211,179,211,125,11.7270434782609,0.25,NA,4
"E1-82",3,"3-45",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",116.5,211,184,218,116.5,8.46704347826087,0,NA,5
"E1-83",18,"18-61",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",102.5,190,171,211,102,8.93704347826087,0.2,NA,5
"E1-84",17,"17-76",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",117,197,179,218,120,4.44704347826087,0.4,NA,5
"E1-85",20,"20-37",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",90,211,184,211,88.5,4.77704347826087,0,NA,4
"E1-86",9,"9-33",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",99,190,171,211,100.5,8.26704347826087,0,NA,5
"E1-87",2,"2-7",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",122,197,179,211,121.5,9.64704347826087,0,NA,3
"E1-88",22,"22-6",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",95.5,190,171,211,96,20.9870434782609,0.5,NA,6
"E1-89",14,"14-21",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",87,197,179,211,85.5,4.70704347826087,0.333333333333333,NA,9
"E1-9",13,"13-53",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",116.5,184,171,211,118.5,6.26704347826087,0.5,NA,2
"E1-90",16,"16-5",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",94,184,171,211,91.5,15.7070434782609,0,NA,6
"E1-91",2,"2-31",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",35,NA,NA,NA,NA,0.37704347826087,0.5,NA,2
