"","Ind","Treatment","LAT","POP","FAM","FT","FlwrVeg","PC1_avg","PC2_avg","PC1_skew","PC2_skew","PC1_var","PC2_var","Fit","Dam"
"359","E10-63","Sprayed",40.06813,"4","4-64",590.966666666667,97.5,-0.287896135572708,0.224551031743639,1.21966984835409,-0.302647123873859,0.220045571881509,0.998053578065298,74.3906590717376,0.291666666666667
"360","E10-64","Sprayed",38.8235,"1","1-59",797.742222222222,108.166666666667,0.881775818309676,-0.304993633685288,0.325749137482388,-1.2281845720003,0.204752724903412,0.771729566320388,25.4956590717376,0.291666666666667
"361","E10-65","Sprayed",46.75552,"22","22-60",532.65,91.6666666666667,-0.702544973036713,0.289130258334824,0.07995932845488,-0.886258569280408,0.185549113064823,1.00396658681159,43.9356590717376,0.347619047619048
"362","E10-66","Sprayed",47.73136,"19","19-75",559.533333333333,59.5833333333333,-1.55477700491934,-0.784020569582013,0.93817036818256,-0.24277290799317,0.422560275254904,0.713274355455788,13.3363717414209,0.211111111111111
"363","E10-67","Sprayed",41.57154,"6","6-36",564.833333333333,92.9166666666667,-0.532801248411259,0.194401450325033,0.263391344248855,-0.264247020336503,0.137403782366678,0.931250419254935,29.2006590717376,0.486111111111111
"364","E10-68","Sprayed",44.54749,"12","12-68",684.15,97.5,0.0949795583590233,-0.158324662187813,-0.688228733726329,-0.669049671166848,0.16250882853294,1.69502580344264,25.4406590717376,0.295384615384615
"365","E10-69","Sprayed",45.76868,"18","18-80",729.333333333333,81.6666666666667,-0.194463687238387,-0.819070360387447,0.761875822164217,-0.476546207701586,0.744350557894709,0.888681826790066,3.20498859356713,0.416666666666667
"366","E10-7","Sprayed",48.10384,"20","20-5",585.383333333333,91.1666666666667,-0.500874964837732,0.0574542834897743,0.864283838240966,-0.200908124510628,0.342118779249787,1.41017181294183,11.8506590717376,0.208333333333333
"367","E10-70","Sprayed",41.57154,"6","6-56",589.266666666667,95.25,-0.362394593755282,0.164022640018187,-0.561916954878714,-0.657150670193091,0.00959065554165728,0.649035711993471,20.2106590717376,0.2
"368","E10-71","Sprayed",46.75552,"22","22-73",575.15,94.6666666666667,-0.437901242383361,0.204522327558959,0.412391110321052,-0.260963266366083,0.0906689981169016,0.973285940832487,69.4956590717376,0.217857142857143
"369","E10-72","Sprayed",45.02376,"17","17-59",612.5,85,-0.574493631088288,-0.239000638896384,0.948700117543829,0.0965535188758185,0.012463253042974,1.76521281248668,16.462717895267,0.2
"370","E10-73","Sprayed",41.97527,"8","8-36",595.633333333333,99.5,-0.208709601260623,0.265388364016474,0.401069966030766,-0.536099866923251,0.216850712900492,0.981425061574412,38.4706590717376,0.283333333333333
