"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-156",40,"2018",8,"8-59",41.97527,-75.19598002,"NYEB","E1","Sprayed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937043478260872,0,NA,1
"E1-157",94.5,"2018",12,"12-22",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,94,94,94,3.69704347826087,0.2,NA,5
"E1-158",111.5,"2018",15,"15-72",44.2915,-79.04909003,"ONBV","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,111.5,111.5,111.5,20.1770434782609,0.333333333333333,NA,6
"E1-159",123,"2018",6,"6-44",41.57154,-74.48428896,"NYWU","E1","Sprayed",211,197,218,797.4,1294.1,627.8,1054.5,895.6,1427.3,122.5,122.5,122.5,11.9170434782609,0,NA,5
"E1-16",117,"2018",6,"6-19",41.57154,-74.48428896,"NYWU","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,106.5,106.5,106.5,7.07704347826087,0.5,NA,4
"E1-160",124,"2018",2,"2-74",38.7966,-77.29988901,"VAFF","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,119,119,119,9.52704347826087,0.2,NA,5
"E1-161",80,"2018",10,"10-80",43.69717,-76.19529499,"NYLV","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,80,80,80,0.317043478260871,0.4,NA,5
"E1-162",103,"2018",2,"2-46",38.7966,-77.29988901,"VAFF","E1","Sprayed",211,197,218,797.4,1294.1,627.8,1054.5,895.6,1427.3,101,101,101,0.397043478260869,0.333333333333333,NA,3
"E1-163",84.5,"2018",18,"18-50",45.76868,-79.39777502,"ONSU","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,86,86,86,8.29704347826087,0,NA,4
"E1-164",97,"2018",10,"10-76",43.69717,-76.19529499,"NYLV","E1","Sprayed",232,211,NA,1059.1,1660.8,797.4,1294.1,NA,NA,97,97,97,0.53704347826087,0,NA,3
"E1-165",96.5,"2018",16,"16-70",44.75284,-79.33799797,"ONWA","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,98,98,98,9.38704347826087,0,NA,5
"E1-166",107,"2018",8,"8-12",41.97527,-75.19598002,"NYEB","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,105,105,105,4.16704347826087,0,NA,8
"E1-167",94,"2018",3,"3-53",40.23327,-77.280415,"PAOL","E1","Sprayed",232,211,NA,1059.1,1660.8,797.4,1294.1,NA,NA,94,94,94,NA,0.5,NA,2
"E1-168",125.5,"2018",8,"8-75",41.97527,-75.19598002,"NYEB","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,127,127,127,25.9670434782609,0.142857142857143,NA,7
"E1-169",117.5,"2018",2,"2-21",38.7966,-77.29988901,"VAFF","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,119,119,119,7.69704347826087,0,NA,7
"E1-17",93,"2018",14,"14-20",44.29771,-78.300041,"ONPB","E1","Sprayed",184,179,211,462.5,824.2,386,722.7,797.4,1294.1,95.5,95.5,95.5,7.72704347826087,0.4,NA,5
"E1-170",106,"2018",10,"10-54",43.69717,-76.19529499,"NYLV","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,108.5,108.5,108.5,12.2870434782609,0,NA,4
