"ind","pop","fam","lat","lon"
"E3-9","1","12",38.8235,-77.71118397
"E3-10","18","2",45.76868,-79.39777502
"E3-11","18","61",45.76868,-79.39777502
"E3-12","15","74",44.2915,-79.04909003
"E3-13","22","48",46.75552,-79.04650404
"E3-14","13","61",44.6076,-76.27898502
"E3-15","2","12",38.7966,-77.29988901
"E3-16","13","45",44.6076,-76.27898502
"E3-17","16","66",44.75284,-79.33799797
"E3-18","5","74",41.42692,-75.63466896
"E3-19","1","20",38.8235,-77.71118397
"E3-20","11","68",43.28958,-76.128568
"E3-21","19","26",47.73136,-80.32791398
"E3-22","5","14",41.42692,-75.63466896
"E3-23","20","73",48.10384,-80.19977597
"E3-24","11","30",43.28958,-76.128568
"E3-25","2","7",38.7966,-77.29988901
"E3-26","6","21",41.57154,-74.48428896
"E3-27","13","47",44.6076,-76.27898502
"E3-28","22","11",46.75552,-79.04650404
"E3-29","15","42",44.2915,-79.04909003
"E3-30","1","7",38.8235,-77.71118397
"E3-31","1","64",38.8235,-77.71118397
"E3-32","20","50",48.10384,-80.19977597
"E3-33","4","64",40.06813,-76.90717204
"E3-34","3","53",40.23327,-77.280415
"E3-35","17","65",45.02376,-79.31190301
"E3-36","8","12",41.97527,-75.19598002
"E3-37","18","22",45.76868,-79.39777502
"E3-38","20","43",48.10384,-80.19977597
"E3-39","2","31",38.7966,-77.29988901
"E3-40","20","7",48.10384,-80.19977597
"E3-41","8","59",41.97527,-75.19598002
"E3-42","8","63",41.97527,-75.19598002
"E3-43","10","8",43.69717,-76.19529499
"E3-44","12","52",44.54749,-76.12868903
"E3-45","16","5",44.75284,-79.33799797
"E3-46","17","70",45.02376,-79.31190301
"E3-47","14","39",44.29771,-78.300041
"E3-48","12","6",44.54749,-76.12868903
"E3-49","22","73",46.75552,-79.04650404
"E3-50","19","59",47.73136,-80.32791398
"E3-51","19","53",47.73136,-80.32791398
"E3-52","11","46",43.28958,-76.128568
"E3-53","17","13",45.02376,-79.31190301
"E3-54","10","76",43.69717,-76.19529499
"E3-55","14","20",44.29771,-78.300041
"E3-56","6","19",41.57154,-74.48428896
"E3-57","19","25",47.73136,-80.32791398
"E3-58","20","59",48.10384,-80.19977597
"E3-59","19","40",47.73136,-80.32791398
"E3-60","3","31",40.23327,-77.280415
"E3-61","22","45",46.75552,-79.04650404
"E3-62","9","35",42.79109,-76.135327
"E3-63","11","41",43.28958,-76.128568
"E3-64","12","29",44.54749,-76.12868903
"E3-65","3","34",40.23327,-77.280415
"E3-66","17","59",45.02376,-79.31190301
"E3-67","15","7",44.2915,-79.04909003
"E3-68","19","38",47.73136,-80.32791398
"E3-69","8","14",41.97527,-75.19598002
"E3-70","4","65",40.06813,-76.90717204
"E3-71","13","26",44.6076,-76.27898502
"E3-72","4","48",40.06813,-76.90717204
"E3-73","10","80",43.69717,-76.19529499
