"ind","FFDAYS","FLOWER"
"E12-2",193,TRUE
"E12-20",193,TRUE
"E12-200",193,TRUE
"E12-201",227,TRUE
"E12-202",185,TRUE
"E12-21",171,TRUE
"E12-22",193,TRUE
"E12-23",185,TRUE
"E12-24",193,TRUE
"E12-25",200,TRUE
"E12-26",193,TRUE
"E12-27",178,TRUE
"E12-28",NA,FALSE
"E12-29",185,TRUE
"E12-3",178,TRUE
"E12-30",193,TRUE
"E12-31",193,TRUE
"E12-32",185,TRUE
"E12-33",178,TRUE
"E12-34",178,TRUE
"E12-35",193,TRUE
"E12-36",171,TRUE
"E12-37",185,TRUE
"E12-38",185,TRUE
"E12-39",185,TRUE
"E12-4",193,TRUE
"E12-40",200,TRUE
"E12-41",178,TRUE
"E12-42",193,TRUE
"E12-43",193,TRUE
"E12-44",185,TRUE
"E12-45",234,TRUE
"E12-46",185,TRUE
"E12-47",178,TRUE
"E12-48",185,TRUE
"E12-49",200,TRUE
"E12-5",200,TRUE
"E12-50",200,TRUE
"E12-51",185,TRUE
"E12-52",178,TRUE
"E12-53",185,TRUE
"E12-54",213,TRUE
"E12-55",185,TRUE
"E12-56",193,TRUE
"E12-57",185,TRUE
"E12-58",213,TRUE
"E12-59",185,TRUE
"E12-6",185,TRUE
"E12-60",200,TRUE
"E12-61",178,TRUE
"E12-62",178,TRUE
"E12-63",193,TRUE
"E12-64",178,TRUE
"E12-65",213,TRUE
"E12-66",185,TRUE
"E12-67",200,TRUE
"E12-68",213,TRUE
"E12-69",222,TRUE
"E12-7",185,TRUE
"E12-70",178,TRUE
"E12-71",193,TRUE
"E12-72",185,TRUE
"E12-73",193,TRUE
"E12-74",193,TRUE
"E12-75",193,TRUE
"E12-76",178,TRUE
"E12-77",185,TRUE
"E12-78",185,TRUE
"E12-79",185,TRUE
"E12-8",185,TRUE
"E12-80",193,TRUE
"E12-81",193,TRUE
"E12-82",213,TRUE
"E12-83",193,TRUE
"E12-84",213,TRUE
"E12-85",200,TRUE
"E12-86",222,TRUE
"E12-87",185,TRUE
"E12-88",185,TRUE
"E12-89",213,TRUE
"E12-9",200,TRUE
"E12-90",185,TRUE
"E12-91",234,TRUE
"E12-92",185,TRUE
"E12-93",185,TRUE
"E12-94",NA,FALSE
"E12-95",185,TRUE
"E12-96",171,TRUE
"E12-97",NA,FALSE
"E12-98",185,TRUE
"E12-99",200,TRUE
"E2-1",184,TRUE
"E2-10",197,TRUE
"E2-100",190,TRUE
"E2-101",NA,FALSE
"E2-102",NA,FALSE
"E2-103",211,TRUE
"E2-104",NA,FALSE
"E2-105",NA,FALSE
"E2-106",197,TRUE
"E2-107",NA,FALSE
"E2-108",190,TRUE
"E2-109",211,TRUE
"E2-11",197,TRUE
