"date.dmg","ind","block","pos","dmg.score","dmg.pstems","treatment","ind.month","weight.raw","weight.adj","weight.rel","pop","fam","pfam","lat","lon","date.heights","veg","bud","months","first.flower","FLOWER"
"19-Jun-19","E4-80","E4","80",2,0.25,"control","E4-80-Jun",30.91,1.86417,0.33716093347051,"9","27","9-27",42.79109,-76.135327,"2019-06-17",59,NA,"Jun",212,TRUE
"19-Jun-19","E4-81","E4","81",2,0.125,"control","E4-81-Jun",35.67,6.62417,1.19807278341962,"2","7","2-7",38.7966,-77.29988901,"2019-06-17",79,NA,"Jun",212,TRUE
"19-Jun-19","E4-82","E4","82",2,0.5,"control","E4-82-Jun",30.04,0.99417,0.179809397870568,"18","80","18-80",45.76868,-79.39777502,"2019-06-17",48,NA,"Jun",272,TRUE
"19-Jun-19","E4-83","E4","83",2,0.333333333333333,"control","E4-83-Jun",33.31,4.26417,0.771234135125521,"10","54","10-54",43.69717,-76.19529499,"2019-06-17",62,NA,"Jun",204,TRUE
"19-Jun-19","E4-84","E4","84",2,0.125,"control","E4-84-Jun",NA,NA,NA,"15","22","15-22",44.2915,-79.04909003,"2019-06-17",69.5,70,"Jun",184,TRUE
"19-Jun-19","E4-86","E4","86",2,0.333333333333333,"control","E4-86-Jun",29.95,0.904170000000001,0.163531652808505,"10","7","10-7",43.69717,-76.19529499,"2019-06-17",73.5,NA,"Jun",272,TRUE
"19-Jun-19","E4-87","E4","87",2,0.25,"control","E4-87-Jun",30.16,1.11417,0.201513057953318,"16","5","16-5",44.75284,-79.33799797,"2019-06-17",57.5,NA,"Jun",204,TRUE
"19-Jun-19","E4-88","E4","88",2,0.2,"control","E4-88-Jun",34.8,5.75417,1.04072124781967,"16","13","16-13",44.75284,-79.33799797,"2019-06-17",57,NA,"Jun",220,TRUE
"19-Jun-19","E4-89","E4","89",2,0.125,"control","E4-89-Jun",30.64,1.59417,0.288327698284321,"10","62","10-62",43.69717,-76.19529499,"2019-06-17",61,NA,"Jun",NA,FALSE
"19-Jun-19","E4-90","E4","90",1,0,"control","E4-90-Jun",NA,NA,NA,"8","32","8-32",41.97527,-75.19598002,"2019-06-17",33.5,NA,"Jun",225,TRUE
"19-Jun-19","E4-91","E4","91",2,0.210526315789474,"control","E4-91-Jun",50.27,21.22417,3.83868476015427,"14","61","14-61",44.29771,-78.300041,"2019-06-17",73,NA,"Jun",204,TRUE
"19-Jun-19","E4-92","E4","92",1,0.125,"control","E4-92-Jun",31.51,2.46417,0.445679233884263,"9","54","9-54",42.79109,-76.135327,"2019-06-17",63.5,NA,"Jun",212,TRUE
"19-Jun-19","E4-93","E4","93",2,0.444444444444444,"control","E4-93-Jun",30.68,1.63417,0.295562251645238,"6","65","6-65",41.57154,-74.48428896,"2019-06-17",73,NA,"Jun",272,TRUE
"19-Jun-19","E4-94","E4","94",2,0.428571428571429,"control","E4-94-Jun",30.5,1.45417,0.263006761521112,"18","50","18-50",45.76868,-79.39777502,"2019-06-17",56.5,57,"Jun",197,TRUE
"19-Jun-19","E4-95","E4","95",1,0.25,"control","E4-95-Jun",32.6,3.55417,0.642820812969247,"12","29","12-29",44.54749,-76.12868903,"2019-06-17",49,NA,"Jun",220,TRUE
