"ind","FFDAYS","FLOWER"
"E12-27",189,TRUE
"E12-28",NA,FALSE
"E12-29",197,TRUE
"E12-3",186,TRUE
"E12-30",197,TRUE
"E12-31",197,TRUE
"E12-32",197,TRUE
"E12-33",189,TRUE
"E12-34",197,TRUE
"E12-35",211,TRUE
"E12-36",184,TRUE
"E12-37",197,TRUE
"E12-38",197,TRUE
"E12-39",197,TRUE
"E12-4",197,TRUE
"E12-40",205,TRUE
"E12-41",186,TRUE
"E12-42",197,TRUE
"E12-43",197,TRUE
"E12-44",197,TRUE
"E12-45",NA,FALSE
"E12-46",197,TRUE
"E12-47",186,TRUE
"E12-48",197,TRUE
"E12-49",205,TRUE
"E12-5",205,TRUE
"E12-50",211,TRUE
"E12-51",189,TRUE
"E12-52",184,TRUE
"E12-53",197,TRUE
"E12-54",211,TRUE
"E12-55",186,TRUE
"E12-56",197,TRUE
"E12-57",189,TRUE
"E12-58",205,TRUE
"E12-59",197,TRUE
"E12-6",197,TRUE
"E12-60",197,TRUE
"E12-61",186,TRUE
"E12-62",205,TRUE
"E12-63",211,TRUE
"E12-64",189,TRUE
"E12-65",205,TRUE
"E12-66",189,TRUE
"E12-67",205,TRUE
"E12-68",224,TRUE
"E12-69",235,TRUE
"E12-7",197,TRUE
"E12-70",184,TRUE
"E12-71",197,TRUE
"E12-72",186,TRUE
"E12-73",205,TRUE
"E12-74",211,TRUE
"E12-75",189,TRUE
"E12-76",184,TRUE
"E12-77",197,TRUE
"E12-78",197,TRUE
"E12-79",189,TRUE
"E12-8",205,TRUE
"E12-80",205,TRUE
"E12-81",184,TRUE
"E12-82",205,TRUE
"E12-83",205,TRUE
"E12-84",211,TRUE
"E12-85",205,TRUE
"E12-86",211,TRUE
"E12-87",189,TRUE
"E12-88",197,TRUE
"E12-89",205,TRUE
"E12-9",211,TRUE
"E12-90",189,TRUE
"E12-91",197,TRUE
"E12-92",189,TRUE
"E12-93",197,TRUE
"E12-94",197,TRUE
"E12-95",197,TRUE
"E12-96",184,TRUE
"E12-97",219,TRUE
"E12-98",197,TRUE
"E12-99",197,TRUE
"E2-1",212,TRUE
"E2-10",NA,FALSE
"E2-100",212,TRUE
"E2-103",218,TRUE
"E2-108",212,TRUE
"E2-109",196,TRUE
"E2-11",212,TRUE
"E2-111",218,TRUE
"E2-112",206,TRUE
