"Block","Pos","Ind","Weight"
"E6",91,"E6-91",2.52864864864866
"E6",92,"E6-92",10.7386486486486
"E6",93,"E6-93",7.54864864864865
"E6",94,"E6-94",6.79864864864865
"E6",95,"E6-95",4.87864864864865
"E6",96,"E6-96",8.98864864864865
"E6",97,"E6-97",0
"E6",98,"E6-98",15.7086486486487
"E6",99,"E6-99",14.3286486486487
"E6",100,"E6-100",35.3086486486487
"E6",101,"E6-101",17.5086486486487
"E6",102,"E6-102",3.42864864864865
"E6",103,"E6-103",0
"E6",104,"E6-104",10.6686486486487
"E6",105,"E6-105",20.4886486486486
"E6",106,"E6-106",17.3086486486486
"E6",107,"E6-107",8.45864864864865
"E6",108,"E6-108",32.0686486486486
"E6",109,"E6-109",7.92864864864865
"E6",110,"E6-110",4.37864864864865
"E6",111,"E6-111",13.6486486486487
"E6",112,"E6-112",25.1486486486487
"E6",113,"E6-113",18.8086486486486
"E6",114,"E6-114",18.0786486486487
"E6",115,"E6-115",19.3286486486487
"E6",116,"E6-116",6.89864864864865
"E6",117,"E6-117",6.30864864864865
"E6",118,"E6-118",5.48864864864865
"E6",119,"E6-119",10.5886486486487
"E6",120,"E6-120",15.5286486486487
"E6",121,"E6-121",17.2786486486487
"E6",122,"E6-122",8.56864864864865
"E6",123,"E6-123",40.6186486486487
"E6",124,"E6-124",4.52864864864866
"E6",125,"E6-125",4.38864864864865
"E6",126,"E6-126",1.95864864864865
"E6",127,"E6-127",1.97864864864865
"E6",128,"E6-128",9.82864864864865
"E6",129,"E6-129",1.85864864864865
"E6",130,"E6-130",4.72864864864865
"E6",131,"E6-131",7.73864864864865
"E6",132,"E6-132",9.55864864864865
"E6",133,"E6-133",11.5886486486487
"E6",134,"E6-134",0.00864864864865211
"E6",135,"E6-135",1.79864864864865
"E6",136,"E6-136",1.34864864864866
"E6",137,"E6-137",4.42864864864865
"E6",138,"E6-138",15.4586486486487
"E6",139,"E6-139",0
"E6",140,"E6-140",9.84864864864866
"E6",141,"E6-141",10.4186486486487
"E6",142,"E6-142",3.69864864864865
"E6",143,"E6-143",12.7086486486487
"E6",144,"E6-144",9.94864864864865
"E6",145,"E6-145",10.7886486486487
"E6",146,"E6-146",3.18864864864865
"E6",147,"E6-147",7.40864864864865
"E6",148,"E6-148",13.0086486486487
"E6",149,"E6-149",5.15864864864865
"E6",150,"E6-150",10.7986486486487
"E6",151,"E6-151",4.46864864864865
"E6",152,"E6-152",8.37864864864865
"E6",153,"E6-153",22.3286486486487
"E6",154,"E6-154",0.0686486486486544
"E6",155,"E6-155",24.4186486486487
"E6",156,"E6-156",15.5686486486487
"E6",157,"E6-157",7.93864864864865
"E6",158,"E6-158",6.61864864864865
"E6",159,"E6-159",11.1186486486487
"E6",160,"E6-160",9.68864864864865
"E6",161,"E6-161",9.25864864864865
"E6",162,"E6-162",1.90864864864865
"E6",163,"E6-163",6.97864864864865
"E6",164,"E6-164",4.70864864864865
"E6",165,"E6-165",7.93864864864865
"E6",166,"E6-166",2.84864864864866
"E6",167,"E6-167",4.19864864864865
"E6",168,"E6-168",3.77864864864866
