"Block","Pos","rawWeight","ind","Weight"
"E10","184",35.22,"E10-184",6.17417
"E10","185",37.49,"E10-185",8.44417
"E10","186",33.37,"E10-186",4.32417
"E10","187",30.65,"E10-187",1.60417
"E10","188",34.44,"E10-188",5.39417
"E10","189",37.05,"E10-189",8.00417
"E10","190",34.23,"E10-190",5.18417
"E10","191",32.66,"E10-191",3.61417
"E10","192",28.45,"E10-192",0
"E10","193",31.66,"E10-193",2.61417
"E10","194",31.46,"E10-194",2.41417
"E10","195",30.72,"E10-195",1.67417
"E10","196",33.65,"E10-196",4.60417
"E10","197",30.02,"E10-197",0.974170000000001
"E10","198",44.68,"E10-198",15.63417
"E10","199",30.86,"E10-199",1.81417
"E10","200",33.17,"E10-200",4.12417
"E10","201",33.54,"E10-201",4.49417
"E11","1",36.12,"E11-1",7.07417
"E11","2",37.59,"E11-2",8.54417
"E11","3",29.45,"E11-3",0.404170000000001
"E11","4",34.47,"E11-4",5.42417
"E11","5",37.15,"E11-5",8.10417
"E11","6",36.37,"E11-6",7.32417
"E11","7",30,"E11-7",0.954170000000001
"E11","8",30.79,"E11-8",1.74417
"E11","9",32.85,"E11-9",3.80417
"E11","10",30.15,"E11-10",1.10417
"E11","11",31.31,"E11-11",2.26417
"E11","12",33.19,"E11-12",4.14417
"E11","13",30.55,"E11-13",1.50417
"E11","14",29.71,"E11-14",0.664170000000002
"E11","15",29.18,"E11-15",0.134170000000001
"E11","16",32.24,"E11-16",3.19417
"E11","17",28,"E11-17",0
"E11","18",30.17,"E11-18",1.12417
"E11","19",32.2,"E11-19",3.15417
"E11","20",28.73,"E11-20",0
"E11","21",33.49,"E11-21",4.44417
"E11","22",30.57,"E11-22",1.52417
"E11","23",30.72,"E11-23",1.67417
"E11","24",30.55,"E11-24",1.50417
"E11","25",29.73,"E11-25",0.684170000000002
"E11","26",40.92,"E11-26",11.87417
"E11","27",29.9,"E11-27",0.85417
"E11","28",31.37,"E11-28",2.32417
"E11","29",32.19,"E11-29",3.14417
"E11","30",31.7,"E11-30",2.65417
"E11","31",30.35,"E11-31",1.30417
"E11","32",35.56,"E11-32",6.51417
"E11","33",31.91,"E11-33",2.86417
"E11","34",34.97,"E11-34",5.92417
"E11","35",29.46,"E11-35",0.414170000000002
"E11","36",34.59,"E11-36",5.54417
"E11","37",31.71,"E11-37",2.66417
"E11","38",28.46,"E11-38",0
"E11","39",34.1,"E11-39",5.05417
"E11","40",30.21,"E11-40",1.16417
"E11","41",36.52,"E11-41",7.47417
"E11","42",34.8,"E11-42",5.75417
"E11","43",29.43,"E11-43",0.384170000000001
"E11","44",30.65,"E11-44",1.60417
"E11","45",29.59,"E11-45",0.544170000000001
"E11","46",42.47,"E11-46",13.42417
"E11","47",30.12,"E11-47",1.07417
"E11","48",31.23,"E11-48",2.18417
"E11","49",30.74,"E11-49",1.69417
"E11","50",30.04,"E11-50",0.99417
"E11","51",31.16,"E11-51",2.11417
"E11","52",35.27,"E11-52",6.22417
"E11","53",40.02,"E11-53",10.97417
"E11","54",35.12,"E11-54",6.07417
"E11","55",33.1,"E11-55",4.05417
"E11","56",30.77,"E11-56",1.72417
"E11","57",33.32,"E11-57",4.27417
"E11","58",35.15,"E11-58",6.10417
"E11","59",30.45,"E11-59",1.40417
"E11","60",29.91,"E11-60",0.864170000000001
"E11","61",31.59,"E11-61",2.54417
"E11","62",31.46,"E11-62",2.41417
"E11","63",49.08,"E11-63",20.03417
"E11","64",33.71,"E11-64",4.66417
"E11","65",33.39,"E11-65",4.34417
"E11","66",34.59,"E11-66",5.54417
"E11","67",31.49,"E11-67",2.44417
"E11","68",32.39,"E11-68",3.34417
"E11","70",28.42,"E11-70",0
"E11","71",30.25,"E11-71",1.20417
"E11","72",30.63,"E11-72",1.58417
"E11","73",30.68,"E11-73",1.63417
"E11","74",30.1,"E11-74",1.05417
"E11","75",30.52,"E11-75",1.47417
"E11","76",40.02,"E11-76",10.97417
"E11","77",29.73,"E11-77",0.684170000000002
"E11","78",36.61,"E11-78",7.56417
"E11","79",33.15,"E11-79",4.10417
"E11","80",30.72,"E11-80",1.67417
"E11","81",31.81,"E11-81",2.76417
"E11","82",30.52,"E11-82",1.47417
"E11","83",35.6,"E11-83",6.55417
"E11","84",29.86,"E11-84",0.814170000000001
"E11","85",32.04,"E11-85",2.99417
"E11","86",30.68,"E11-86",1.63417
"E11","87",30.81,"E11-87",1.76417
"E11","88",34.39,"E11-88",5.34417
"E11","89",33.72,"E11-89",4.67417
"E11","90",32.42,"E11-90",3.37417
"E11","91",31.65,"E11-91",2.60417
"E11","92",32.77,"E11-92",3.72417
"E11","93",33.19,"E11-93",4.14417
"E11","94",35.8,"E11-94",6.75417
"E11","95",37.5,"E11-95",8.45417
"E11","96",30.84,"E11-96",1.79417
"E11","97",36.65,"E11-97",7.60417
"E11","98",39.47,"E11-98",10.42417
"E11","99",29.9,"E11-99",0.85417
"E11","100",48.78,"E11-100",19.73417
"E11","101",42.09,"E11-101",13.04417
"E11","102",47.99,"E11-102",18.94417
"E11","103",30.95,"E11-103",1.90417
"E11","104",36.19,"E11-104",7.14417
"E11","105",29.23,"E11-105",0.184170000000002
"E11","106",32.62,"E11-106",3.57417
"E11","107",35.43,"E11-107",6.38417
"E11","108",30.41,"E11-108",1.36417
"E11","109",30.14,"E11-109",1.09417
"E11","110",29.58,"E11-110",0.53417
"E11","111",30.01,"E11-111",0.964170000000003
"E11","112",30.3,"E11-112",1.25417
"E11","113",32.4,"E11-113",3.35417
"E11","114",30.44,"E11-114",1.39417
"E11","115",37.65,"E11-115",8.60417
"E11","116",30.6,"E11-116",1.55417
"E11","117",32.74,"E11-117",3.69417
"E11","118",30.92,"E11-118",1.87417
"E11","119",32.14,"E11-119",3.09417
"E11","120",30.39,"E11-120",1.34417
"E11","121",28.4,"E11-121",0
"E11","122",30.61,"E11-122",1.56417
"E11","123",30.15,"E11-123",1.10417
"E11","124",28.69,"E11-124",0
"E11","125",31.89,"E11-125",2.84417
"E11","126",32.36,"E11-126",3.31417
"E11","127",31.14,"E11-127",2.09417
"E11","128",31.5,"E11-128",2.45417
"E11","129",29.42,"E11-129",0.374170000000003
"E11","130",36.51,"E11-130",7.46417
"E11","131",34.34,"E11-131",5.29417
"E11","132",29.69,"E11-132",0.644170000000003
"E11","133",29.67,"E11-133",0.624170000000003
"E11","134",29.56,"E11-134",0.51417
"E11","135",32.19,"E11-135",3.14417
"E11","136",32.07,"E11-136",3.02417
"E11","137",32.65,"E11-137",3.60417
"E11","138",29.42,"E11-138",0.374170000000003
"E11","139",31.98,"E11-139",2.93417
"E11","140",33.32,"E11-140",4.27417
"E11","141",32.62,"E11-141",3.57417
"E11","142",29.6,"E11-142",0.554170000000003
"E11","143",30.6,"E11-143",1.55417
"E11","144",30.42,"E11-144",1.37417
"E11","145",31.21,"E11-145",2.16417
"E11","146",29.9,"E11-146",0.85417
"E11","147",29.1,"E11-147",0.0541700000000027
"E11","148",31.31,"E11-148",2.26417
"E11","149",31.28,"E11-149",2.23417
"E11","150",29.82,"E11-150",0.774170000000002
"E11","151",31.97,"E11-151",2.92417
"E11","152",29.24,"E11-152",0.19417
"E11","153",31.58,"E11-153",2.53417
"E11","154",31.42,"E11-154",2.37417
"E11","155",28.06,"E11-155",0
"E11","156",31.36,"E11-156",2.31417
"E11","157",30.54,"E11-157",1.49417
"E11","158",30.02,"E11-158",0.974170000000001
"E11","159",35.35,"E11-159",6.30417
"E11","160",33.91,"E11-160",4.86417
"E11","161",36.63,"E11-161",7.58417
"E11","162",34.35,"E11-162",5.30417
"E11","163",36.79,"E11-163",7.74417
"E11","164",29.88,"E11-164",0.83417
"E11","165",30.04,"E11-165",0.99417
"E11","166",34.14,"E11-166",5.09417
"E11","167",30.6,"E11-167",1.55417
"E11","168",34.47,"E11-168",5.42417
"E11","169",29.01,"E11-169",0
"E11","170",32.52,"E11-170",3.47417
"E11","171",33.85,"E11-171",4.80417
"E11","172",28.67,"E11-172",0
"E11","173",33.87,"E11-173",4.82417
"E11","174",29.73,"E11-174",0.684170000000002
"E11","175",40.06,"E11-175",11.01417
"E11","176",35.19,"E11-176",6.14417
"E11","177",34.69,"E11-177",5.64417
"E11","178",38.14,"E11-178",9.09417
"E11","179",32.72,"E11-179",3.67417
"E11","180",28.89,"E11-180",0
"E11","181",32.64,"E11-181",3.59417
"E11","182",34.2,"E11-182",5.15417
"E11","183",34.3,"E11-183",5.25417
