Block,Pos,Date,Weight,Measured_by,Entered_by,Missing,NOTES,"Individuals with missing bags were assigned the ""empty bag"" weight for their box- May 10, 2023"
E4,71,,,,,,,
E4,72,,,,,,,
E4,73,,,,,,,
E4,74,,,,,,,
E4,75,,,,,,,
E4,76,,,,,,,
E4,77,,,,,,,
E4,78,,,,,,,
E4,79,2024-01-25,30.43,Heidi Albers,Heidi Albers,,,
E4,80,,,,,,,
E4,81,,,,,,,
E4,82,,,,,,,
E4,83,2024-01-25,30.87,Heidi Albers,Heidi Albers,,,
E4,84,,,,,,,
E4,85,,,,,,,
E4,86,,,,,,,
E4,87,,,,,,,
E4,88,,,,,,,
E4,89,,,,,,,
E4,90,,,,,,,
E4,91,,,,,,,
E4,92,,,,,,,
E4,93,,,,,,,
E4,94,,,,,,,
E4,95,,,,,,,
E4,96,,,,,,,
E4,97,,,,,,,
E4,98,,,,,,,
E4,99,,,,,,,
E4,100,,,,,,,
E4,101,,,,,,,
E4,102,,,,,,,
E4,103,2024-01-25,30.5,Heidi Albers,Heidi Albers,,,
E4,104,,,,,,,
E4,105,,,,,,,
E4,106,,,,,,,
E4,107,,,,,,,
E4,108,,,,,,,
E4,109,,,,,,,
E4,110,,,,,,,
E4,111,,,,,,,
E4,112,,,,,,,
E4,113,,,,,,,
E4,114,,,,,,,
E4,115,,,,,,,
E4,116,,,,,,,
E4,117,,,,,,,
E4,118,,,,,,,
E4,119,,,,,,,
E4,120,,,,,,,
E4,121,2024-01-25,31.65,Heidi Albers,Heidi Albers,,,
E4,122,,,,,,,
E4,123,,,,,,,
E4,124,,,,,,,
E4,125,,,,,,,
E4,126,,,,,,,
E4,127,,,,,,,
E4,128,,,,,,,
E4,129,,,,,,,
E4,130,,,,,,,
E4,131,,,,,,,
E4,132,,,,,,,
E4,133,,,,,,,
E4,134,,,,,,,
E4,135,,,,,,,
E4,136,,,,,,,
E4,137,,,,,,,
E4,138,,,,,,,
E4,139,,,,,,,
E4,140,,,,,,,
E4,141,,,,,,,
E4,142,,,,,,,
E4,143,,,,,,,
E4,144,,,,,,,
E4,145,,,,,,,
E4,146,,,,,,,
E4,147,,,,,,,
E4,148,,,,,,,
E4,149,,,,,,,
E4,150,,,,,,,
E4,151,,,,,,,
E4,152,,,,,,,
E4,153,,,,,,,
E4,154,,,,,,,
E4,155,,,,,,,
E4,156,,,,,,,
E4,157,,,,,,,
E4,158,,,,,,,
E4,159,,,,,,,
E4,160,,,,,,,
E4,161,,,,,,,
E4,162,,,,,,,
E4,163,,,,,,,
E4,164,,,,,,,
E4,165,,,,,,,
E4,166,,,,,,,
E4,167,,,,,,,
E4,168,,,,,,,
E4,169,,,,,,,
E4,170,2024-01-25,31.25,Heidi Albers,Heidi Albers,,,
E4,171,,,,,,,
E4,172,,,,,,,
E4,173,,,,,,,
E4,174,,,,,,,
E4,175,2024-01-25,29.62,Heidi Albers,Heidi Albers,,,
E4,176,,,,,,,
E4,177,2024-01-25,30.41,Heidi Albers,Heidi Albers,,,
E4,178,,,,,,,
E4,179,,,,,,,
E4,180,,,,,,,
E4,181,,,,,,,
E4,182,,,,,,,
E4,183,,,,,,,
E4,184,,,,,,,
E4,185,,,,,,,
E4,186,,,,,,,
E4,187,,,,,,,
E4,188,,,,,,,
E4,189,,,,,,,
E4,190,,,,,,,
E4,191,2024-01-25,30.69,Heidi Albers,Heidi Albers,,,
E4,192,,,,,,,
E4,193,,,,,,,
E4,194,,,,,,,
E4,195,,,,,,,
E4,196,,,,,,,
E4,197,,,,,,,
E4,198,2024-01-25,32.5,Heidi Albers,Heidi Albers,,,
E4,199,,,,,,,
E4,200,2024-01-25,31.73,Heidi Albers,Heidi Albers,,,
E4,201,2024-01-25,30.89,Heidi Albers,Heidi Albers,,,
E5,1,,,,,,,
E5,2,,,,,,,
E5,3,,,,,,,
E5,4,,,,,,,
E5,5,,,,,,,
E5,6,,,,,,,
E5,7,,,,,,,
E5,8,,,,,,,
E5,9,2024-01-25,31.91,Heidi Albers,Heidi Albers,,,
E5,10,,,,,,,
E5,11,2024-01-25,29.65,Heidi Albers,Heidi Albers,,,
E5,12,2024-01-25,30.27,Heidi Albers,Heidi Albers,,,
E5,13,2024-01-25,30.42,Heidi Albers,Heidi Albers,,,
E5,14,,,,,,,
E5,15,,,,,,,
E5,16,,,,,,,
E5,17,,,,,,,
E5,18,,,,,,,
E5,19,,,,,,,
E5,20,,,,,,,
E5,21,,,,,,,
E5,22,,,,,,,
E5,23,,,,,,,
E5,24,,,,,,,
E5,25,,,,,,,
E5,26,,,,,,,
E5,27,,,,,,,
E5,28,,,,,,,
E5,29,,,,,,,
E5,30,,,,,,,
E5,31,,,,,,,
E5,32,,,,,,,
E5,33,,,,,,,
E5,34,,,,,,,
E5,35,,,,,,,
E5,36,,,,,,,
E5,37,,,,,,,
E5,38,,,,,,,
E5,39,,,,,,,
E5,40,,,,,,,
E5,41,,,,,,,
E5,42,,,,,,,
E5,43,,,,,,,
E5,44,,,,,,,
E5,45,,,,,,,
E5,46,,,,,,,
E5,47,,,,,,,
E5,48,2024-01-25,29.55,Heidi Albers,Heidi Albers,,,
E5,49,,,,,,,
E5,50,,,,,,,
E5,51,,,,,,,
E5,52,,,,,,,
E5,53,,,,,,,
E5,54,,,,,,,
E5,55,,,,,,,
E5,56,2024-01-25,31.21,Heidi Albers,Heidi Albers,,,
E5,57,,,,,,,
E5,58,,,,,,,
E5,59,,,,,,,
E5,60,,,,,,,
E5,61,2024-01-25,30.96,Heidi Albers,Heidi Albers,,,
E5,62,,,,,,,
E5,63,,,,,,,
E5,64,,,,,,,
E5,65,,,,,,,
E5,66,2024-01-25,29.88,Heidi Albers,Heidi Albers,,,
E5,67,,,,,,,
E5,68,,,,,,,
E5,69,,,,,,,
E5,70,,,,,,,
E5,71,,,,,,,
E5,72,,,,,,,
E5,73,,,,,,,
E5,74,,,,,,,
E5,75,2024-01-25,31.14,Heidi Albers,Heidi Albers,,,
E5,76,,,,,,,
E5,77,,,,,,,
E5,78,,,,,,,
E5,79,2024-01-25,30.03,Heidi Albers,Heidi Albers,,,
E5,80,,,,,,,
E5,81,,,,,,,
E5,82,,,,,,,
E5,83,,,,,,,
E5,84,,,,,,,
E5,85,2024-01-25,33.46,Heidi Albers,Heidi Albers,,,
E5,86,,,,,,,
E5,87,,,,,,,
E5,88,,,,,,,
E5,89,,,,,,,
E5,90,,,,,,,
E5,91,2024-01-25,31,Heidi Albers,Heidi Albers,,,
E5,92,,,,,,,
E5,93,,,,,,,
E5,94,2024-01-25,30.92,Heidi Albers,Heidi Albers,,,
E5,95,2024-01-25,30.45,Heidi Albers,Heidi Albers,,,
E5,96,,,,,,,
E5,97,,,,,,,
E5,98,2024-01-25,29.9,Heidi Albers,Heidi Albers,,,
E5,99,,,,,,,
E5,100,2024-01-25,32.88,Heidi Albers,Heidi Albers,,,
E5,101,2024-01-25,37.74,Heidi Albers,Heidi Albers,,,
E5,102,2024-01-25,32.2,Heidi Albers,Heidi Albers,,,
E5,103,2024-01-25,41.53,Heidi Albers,Heidi Albers,,,
E5,104,2024-01-25,31.19,Heidi Albers,Heidi Albers,,,
E5,105,,,,,,,
E5,106,,,,,,,
E5,107,,,,,,,
E5,108,,,,,,,
E5,109,2024-01-25,30.64,Heidi Albers,Heidi Albers,,,
E5,110,,,,,,,
E5,111,2024-01-25,32.8,Heidi Albers,Heidi Albers,,,
E5,112,,,,,,,
E5,113,2024-01-25,35,Heidi Albers,Heidi Albers,,,
E5,114,,,,,,,
E5,115,2024-01-25,32.89,Heidi Albers,Heidi Albers,,,
E5,116,,,,,,,
E5,117,2024-01-25,29.41,Heidi Albers,Heidi Albers,,,
E5,118,,,,,,,
E5,119,,,,,,,
E5,120,,,,,,,
E5,121,,,,,,,
E5,122,,,,,,,
E5,123,,,,,,,
E5,124,2024-01-25,31.97,Heidi Albers,Heidi Albers,,,
E5,125,,,,,,,
E5,126,,,,,,,
E5,127,,,,,,,
E5,128,,,,,,,
E5,129,,,,,,,
E5,130,,,,,,,
E5,131,2024-01-25,30.44,Heidi Albers,Heidi Albers,,,
E5,132,,,,,,,
E5,133,,,,,,,
E5,134,,,,,,,
E5,135,,,,,,,
E5,136,,,,,,,
E5,137,,,,,,,
E5,138,,,,,,,
E5,139,,,,,,,
E5,140,,,,,,,
E5,141,,,,,,,
E5,142,,,,,,,
E5,143,,,,,,,
E5,144,,,,,,,
E5,145,,,,,,,
E5,146,,,,,,,
E5,147,,,,,,,
E5,148,,,,,,,
E5,149,,,,,,,
E5,150,,,,,,,
E5,151,,,,,,,
E5,152,,,,,,,
E5,153,2024-01-25,30.66,Heidi Albers,Heidi Albers,,,
E5,154,,,,,,,
E5,155,,,,,,,
E5,156,,,,,,,
E5,157,,,,,,,
E5,158,,,,,,,
E5,159,,,,,,,
E5,160,,,,,,,
E5,161,,,,,,,
E5,162,,,,,,,
E5,163,,,,,,,
E5,164,,,,,,,
E5,165,,,,,,,
E5,166,,,,,,,
E5,167,,,,,,,
E5,168,,,,,,,
E5,169,,,,,,,
E5,170,,,,,,,
E5,171,,,,,,,
E5,172,,,,,,,
E5,173,,,,,,,
E5,174,,,,,,,
E5,175,,,,,,,
E5,176,,,,,,,
E5,177,,,,,,,
E5,178,,,,,,,
E5,179,,,,,,,
E5,180,,,,,,,
E5,181,,,,,,,
E5,182,,,,,,,
E5,183,,,,,,,
E5,184,,,,,,,
E5,185,,,,,,,
E5,186,,,,,,,
E5,187,,,,,,,
E5,188,,,,,,,
E5,189,,,,,,,
E5,190,,,,,,,
E5,191,,,,,,,
E5,192,,,,,,,
E5,193,,,,,,,
E5,194,,,,,,,
E5,195,,,,,,,
E5,196,,,,,,,
E5,197,,,,,,,
E5,198,,,,,,,
E5,199,,,,,,,
E5,200,2024-01-25,30.3,Heidi Albers,Heidi Albers,,,
