Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
e10,115,33.67,df,jan 10th 2020,DF,0,,
e10,116,30.35,df,jan 10th 2020,DF,0,,
e10,117,31.19,df,jan 10th 2020,DF,0,,
e10,118,44.06,df,jan 10th 2020,DF,0,,
e10,119,30.58,df,jan 10th 2020,DF,0,,
e10,120,30.92,df,jan 10th 2020,DF,0,,
e10,121,30,df,jan 10th 2020,DF,0,,
e10,122,29.62,df,jan 10th 2020,DF,0,,
e10,123,32.32,df,jan 10th 2020,DF,0,,
e10,124,29.72,df,jan 10th 2020,DF,0,,
e10,125,36.6,df,jan 10th 2020,DF,0,,
e10,126,29.67,df,jan 10th 2020,DF,0,,
e10,127,34.04,df,jan 10th 2020,DF,0,,
e10,128,32.31,df,jan 10th 2020,DF,0,,
e10,129,30.08,df,jan 10th 2020,DF,0,,
e10,130,35.22,df,jan 10th 2020,DF,0,,
e10,131,29.82,df,jan 10th 2020,DF,0,,
e10,132,35.64,df,jan 10th 2020,DF,0,,
e10,133,37.13,df,jan 10th 2020,DF,0,,
e10,134,33.84,df,jan 10th 2020,DF,0,,
e10,135,34.33,df,jan 10th 2020,DF,0,,
e10,136,31.86,df,jan 10th 2020,DF,0,,
e10,137,34.16,df,jan 10th 2020,DF,0,,
e10,138,42.69,df,jan 10th 2020,DF,0,,
e10,139,32.35,df,jan 10th 2020,DF,0,,
e10,140,30,df,jan 10th 2020,DF,0,,
e10,141,29.57,df,jan 10th 2020,DF,0,,
e10,142,31.06,df,jan 10th 2020,DF,0,,
e10,143,29.83,df,jan 10th 2020,DF,0,,
e10,144,30.61,df,jan 10th 2020,DF,0,,
e10,145,31.2,df,jan 10th 2020,DF,0,,
e10,146,39.43,df,jan 10th 2020,DF,0,,
e10,147,30.12,df,jan 10th 2020,DF,0,,
e10,148,37.97,df,jan 10th 2020,DF,0,,
e10,149,39.28,df,jan 10th 2020,DF,0,,
e10,150,35.21,df,jan 10th 2020,DF,0,,
e10,151,33.54,df,jan 10th 2020,DF,0,,
e10,152,29.6,df,jan 10th 2020,DF,0,,
e10,153,30.84,df,jan 10th 2020,DF,0,,
e10,154,29.3,df,jan 10th 2020,DF,0,,
e10,155,28.8,df,jan 10th 2020,DF,0,,
e10,156,32.44,df,jan 10th 2020,DF,0,,
e10,157,29.93,df,jan 10th 2020,DF,0,,
e10,158,39.72,df,jan 10th 2020,DF,0,,
e10,159,34.57,df,jan 10th 2020,DF,0,,
e10,160,31.72,df,jan 10th 2020,DF,0,,
e10,161,29.21,df,jan 10th 2020,DF,0,,
e10,162,40.75,df,jan 10th 2020,DF,0,,
e10,163,29,df,jan 10th 2020,DF,0,,
e10,164,31.62,df,jan 10th 2020,DF,0,,
e10,165,33.15,df,jan 10th 2020,DF,0,,
e10,166,34.48,df,jan 10th 2020,DF,0,,
e10,167,37.44,df,jan 10th 2020,DF,0,,
e10,168,35.76,df,jan 10th 2020,DF,0,,
e10,169,29.01,df,jan 10th 2020,DF,0,,
e10,170,34.58,df,jan 10th 2020,DF,0,,
e10,171,32.5,df,jan 10th 2020,DF,0,,
e10,172,29.21,df,jan 10th 2020,DF,0,,
e10,173,46.98,df,jan 10th 2020,DF,0,,
e10,174,31.43,df,jan 10th 2020,DF,0,,
e10,175,32.03,df,jan 10th 2020,DF,0,,
e10,176,34.73,df,jan 10th 2020,DF,0,,
e10,177,35.16,df,jan 10th 2020,DF,0,,
e10,178,29.93,df,jan 10th 2020,DF,0,,
e10,179,31.33,df,jan 10th 2020,DF,0,,
e10,180,29.54,df,jan 10th 2020,DF,0,,
e10,181,35.27,df,jan 10th 2020,DF,0,,
e10,182,30.84,df,jan 10th 2020,DF,0,,
e10,183,37.92,df,jan 10th 2020,DF,0,,
e10,184,35.22,df,jan 10th 2020,DF,0,,
e10,185,37.49,df,jan 10th 2020,DF,0,,
e10,186,33.37,df,jan 10th 2020,DF,0,,
e10,187,30.65,df,jan 10th 2020,DF,0,,
e10,188,34.44,df,jan 10th 2020,DF,0,,
e10,189,37.05,df,jan 10th 2020,DF,0,,
e10,190,34.23,df,jan 10th 2020,DF,0,,
e10,191,32.66,df,jan 10th 2020,DF,0,,
e10,192,28.45,df,jan 10th 2020,DF,0,,
e10,193,31.66,df,jan 10th 2020,DF,0,,
e10,194,31.46,df,jan 10th 2020,DF,0,,
e10,195,30.72,df,jan 10th 2020,DF,0,,
e10,196,33.65,df,jan 10th 2020,DF,0,,
e10,197,30.02,df,jan 10th 2020,DF,0,,
e10,198,44.68,df,jan 10th 2020,DF,0,,
e10,199,30.86,df,jan 10th 2020,DF,0,,
